,Adj P Val,F statistic
Hist1h3b,0.002513551,-0.187591847
Mcm7,0.002513551,-0.157325566
Hist2h3b,0.002748047,-0.160377018
Rasgrf1,0.003185752,-0.383205288
Itgb3,0.003547567,-0.300607611
Polr2d,0.003591269,-0.126827805
Angpt2,0.003941932,-0.251912973
Lamb3,0.005853685,-0.278919174
Tshr,0.00730343,-0.271651721
Brca1,0.00730343,-0.201379711
Chek1,0.00817941,-0.259577762
Pdgfa,0.008447317,-0.225841041
Fancf,0.008599485,-0.111046895
Il2ra,0.008774763,-0.313881735
Csf3r,0.01100502,-0.376565041
Hells,0.011097421,-0.14284386
Pkmyt1,0.012184343,-0.287836793
Col2a1,0.012184343,-0.264880023
Bmp2,0.012184343,-0.318249659
Itgb6,0.012184343,-0.243279796
Ntrk1,0.012780023,-0.283859204
Ptch1,0.013810229,-0.060293866
Lamc2,0.014905763,-0.311432797
Kit,0.015979298,-0.342399774
Lef1,0.015979298,-0.212401847
Cacng4,0.015979298,-0.345637704
Ibsp,0.016014272,-0.346434919
Pbx3,0.016014272,-0.149658845
Fen1,0.016753482,-0.188267735
Tnc,0.017263299,-0.197144431
Zbtb32,0.017263299,-0.293262486
Stmn1,0.017426809,-0.164340671
Fgf15,0.017775815,-0.257707014
Blm,0.017775815,-0.283835118
Jag1,0.018861295,-0.380851983
Gata3,0.018897049,-0.261184973
Mcm2,0.018897049,-0.23677442
Ube2t,0.018960552,-0.210210426
Fzd3,0.019176234,-0.151091803
Cacnb4,0.019210108,-0.348414845
Rad51,0.019685728,-0.256624404
Nasp,0.020077661,-0.116864655
Pla2g3,0.020482714,-0.345148485
Prkcg,0.021281303,-0.192826479
Col27a1,0.021500178,-0.327851728
Itga6,0.021808136,-0.234734431
Rps6ka6,0.021808136,-0.350170922
Fancl,0.021808136,-0.246905803
Reln,0.021808136,-0.326697228
Ccne2,0.021808136,-0.240329429
Tgfb1,0.021808136,-0.155799381
Bmp8a,0.021808917,-0.332048069
Comp,0.022053021,-0.244754293
Cacng1,0.022674233,-0.280495674
Pla2g2a,0.022674233,-0.294930252
Efna1,0.022987066,-0.14418537
Shc4,0.024938878,-0.19946857
Sox9,0.025498327,-0.23889655
Cdc25b,0.025498327,-0.103603243
Plcg2,0.025696289,-0.201286172
Fgf6,0.025794215,-0.315522767
Il12rb2,0.025794215,-0.309512623
Tmprss2,0.025794215,-0.309596026
Dusp8,0.025794215,-0.125441368
Camk2b,0.025794215,-0.231774963
Fgf14,0.025860457,-0.333276658
Fgf18,0.026345941,-0.315970868
Pole2,0.026608668,-0.155864326
Wif1,0.026890756,-0.308371561
Med12,0.027529234,-0.120126865
Hoxa9,0.027529234,-0.329864928
Rac2,0.027529234,-0.27385874
